ip,port,severity_score,exploit_score,distinct_vulnerabilities,combined_score
192.168.1.18,8834,1.0,0.0,0.875,0.675
192.168.1.20,10000,0.8888888888888888,0.0,1.0,0.6444444444444444
192.168.1.12,3001,0.5714285714285714,0.0,0.75,0.4357142857142857
192.168.1.20,22,0.0,0.0,0.0,0.0
