"Project created: russell", "9/29/2024", "9:41:19 PM"
"Allowed IP added: 1.1.1.1 to project: russell", "9/29/2024", "9:41:36 PM"
"Off-limit IP added: 1.1.1.1.1.1 to project: russell", "9/29/2024", "9:41:43 PM"
"File uploaded: 1727669194042-Nessus_scan_file.nessus", "9/29/2024", "10:06:34 PM"
"File uploaded: 1727669757821-Nessus_scan_file.nessus", "9/29/2024", "10:15:57 PM"
"File uploaded: 1727669862335-Nessus_scan_file.nessus", "9/29/2024", "10:17:42 PM"
"File uploaded: 1727669949926-Nessus_scan_file.nessus", "9/29/2024", "10:19:09 PM"
"File uploaded: 1727670244147-Nessus_scan_file.nessus", "9/29/2024", "10:24:04 PM"
"File uploaded: 1727670279242-Nessus_scan_file.nessus", "9/29/2024", "10:24:39 PM"
"File uploaded: 1727670327111-Nessus_scan_file.nessus", "9/29/2024", "10:25:27 PM"
"File uploaded: 1727670792141-Nessus_scan_file.nessus", "9/29/2024", "10:33:12 PM"
"File uploaded: 1727671240731-Nessus_scan_file.nessus", "9/29/2024", "10:40:40 PM"
"File uploaded: 1727671416687-Nessus_scan_file.nessus", "9/29/2024", "10:43:36 PM"
"File uploaded: 1727671562031-Nessus_scan_file.nessus", "9/29/2024", "10:46:02 PM"
"Project created: sssss2", "9/29/2024", "10:46:12 PM"
"Allowed IP added: 2.33.3.3 to project: sssss2", "9/29/2024", "10:46:17 PM"
"Project created: testing", "10/23/2024", "1:00:01 AM"
"Allowed IP added: 1223 to project: testing", "10/23/2024", "1:00:11 AM"
"File uploaded: 1729645224085-Nessus_scan_file(1).nessus", "10/23/2024", "1:00:24 AM"
"Project created: ret", "10/25/2024", "5:09:45 PM"
"File uploaded: 1729962575470-Nessus_scan_file(1).nessus", "10/26/2024", "5:09:35 PM"
"Project created: yest2", "10/26/2024", "6:19:02 PM"
"Error adding allowed IP: SSs to project: ret, Error: Queries cannot be run directly on a session with an open transaction; either run from within the transaction or use a different session.", "10/27/2024", "8:14:54 PM"
"Allowed IP added: SSs to project: ret", "10/27/2024", "8:14:56 PM"
"Error adding allowed IP: undefined to project: ret, Error: Expected parameter(s): ip", "10/27/2024", "11:07:10 PM"
"Error adding allowed IP: undefined to project: ret, Error: Expected parameter(s): ip", "10/27/2024", "11:09:13 PM"
"Allowed IP added: tery to project: ret", "10/27/2024", "11:10:57 PM"
"Allowed IP added: 32487 to project: ret", "10/28/2024", "2:05:46 AM"
"Allowed IP added: 324874 to project: ret", "10/28/2024", "2:07:15 AM"
"Allowed IP added: 324874 to project: ret", "10/28/2024", "2:07:17 AM"
"Allowed IP added: 1384567029 to project: ret", "10/28/2024", "8:34:20 AM"
"Off-limit IP added: 6320981 to project: ret", "10/28/2024", "8:37:37 AM"
"Allowed exploit added: password bypass to project: ret", "10/28/2024", "8:51:36 AM"
"Off-limit exploit added: brute force to project: ret", "10/28/2024", "8:51:48 AM"
"Allowed IP added: 1563926 to project: yest2", "10/28/2024", "8:54:43 AM"
"Allowed IP added: 874025394 to project: yest2", "10/28/2024", "8:54:49 AM"
"Off-limit IP added: 630167 to project: yest2", "10/28/2024", "8:54:55 AM"
"Allowed exploit added: brute force to project: yest2", "10/28/2024", "8:55:10 AM"
